date,tmax,tmin,tmean,rh_mean,wind_speed_max,pressure_mean,solar_radiation_sum,cloud_cover_mean,tdb,rh,wind_speed,solar_radiation_wm2,cloud_fraction,wet_bulb_temperature,globe_temperature,tmrt,utci,wbgt
2016-08-06,31.7,25.5,28.0,82,16.7,952.5,18.41,90,28.0,82.0,4.638888888888888,213.0787037037037,0.9,25.500065426147007,31.039595341018252,46.719395274162025,31.370617929233998,26.857964866506556
2016-08-07,30.0,25.0,27.1,85,13.1,952.7,14.42,84,27.1,85.0,3.638888888888889,166.89814814814815,0.84,25.057651136297814,29.901312968917473,42.709845675011195,30.71833813114087,26.230618389191967
2016-08-08,29.8,25.0,26.6,87,15.6,952.6,13.55,94,26.6,87.0,4.333333333333333,156.8287037037037,0.94,24.85163544493022,28.826407490079365,40.323690445036505,28.965554941134368,25.82142630946703
2016-08-09,29.7,24.4,26.5,87,13.5,951.0,14.3,89,26.5,87.0,3.75,165.50925925925927,0.89,24.75385265639836,29.12450396825397,41.46405856023506,29.771445767601712,25.802597653129645
2016-08-10,30.5,24.4,26.2,89,10.6,951.7,12.69,98,26.2,89.0,2.944444444444444,146.875,0.98,24.738139294674188,28.557189685314686,38.319593098243104,29.913109413080036,25.64813544333487
2016-08-11,27.7,23.7,24.9,94,14.2,954.1,4.93,100,24.9,94.0,3.944444444444444,57.060185185185176,1.0,24.136797527531552,25.697424948240165,29.860422373436506,25.473229102100845,24.52524325892012
2016-08-12,30.7,24.0,26.3,86,16.2,955.4,11.77,96,26.3,86.0,4.5,136.22685185185185,0.96,24.418918228401733,28.164156920077975,38.149477493092604,27.83276000871516,25.356074143896805
2016-08-13,30.6,24.5,27.1,84,14.5,954.9,14.8,99,27.1,84.0,4.027777777777778,171.2962962962963,0.99,24.915816589202976,29.495512820512822,41.24366474135502,29.844542308917568,26.050174176544644
2016-08-14,29.9,24.0,27.0,81,16.0,954.2,12.95,83,27.0,81.0,4.444444444444445,149.88425925925924,0.83,24.392339172789733,29.321001838235293,41.3972751830629,29.06057889026987,25.63883778859987
2016-08-15,31.3,23.8,27.3,73,17.9,953.5,22.96,58,27.3,73.0,4.972222222222221,265.74074074074076,0.58,23.52226357266964,32.03003714020427,56.207974140222404,31.67939769165386,25.601591928909603
